"filename", "language", "Dart", "YAML", "Markdown", "C++", "PowerShell", "CMake", "Swift", "Shell Script", "JSON", "HTML", "XML", "JavaScript", "Properties", "WebAssembly Text Format", "comment", "blank", "total"
"e:\code\r6box\r6box\lib\utils\image_utils.dart", "Dart", 149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 20, 186
"e:\code\r6box\r6box\linux\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 129
"e:\code\r6box\r6box\linux\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 89
"e:\code\r6box\r6box\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"e:\code\r6box\r6box\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"e:\code\r6box\r6box\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"e:\code\r6box\r6box\linux\runner\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"e:\code\r6box\r6box\linux\runner\main.cc", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\code\r6box\r6box\linux\runner\my_application.cc", "C++", 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 27, 131
"e:\code\r6box\r6box\linux\runner\my_application.h", "C++", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"e:\code\r6box\r6box\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 4, 17
"e:\code\r6box\r6box\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"e:\code\r6box\r6box\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"e:\code\r6box\r6box\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 1, 69
"e:\code\r6box\r6box\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 1, 344
"e:\code\r6box\r6box\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"e:\code\r6box\r6box\pubspec.yaml", "YAML", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 22, 130
"e:\code\r6box\r6box\scripts\build.ps1", "PowerShell", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 19, 89
"e:\code\r6box\r6box\scripts\build.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 10, 12, 68
"e:\code\r6box\r6box\scripts\build_config_generator.dart", "Dart", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 14, 109
"e:\code\r6box\r6box\scripts\config_validator.dart", "Dart", 233, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 47, 300
"e:\code\r6box\r6box\scripts\config_validator_tool.dart", "Dart", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 36
"e:\code\r6box\r6box\scripts\database_exporter.dart", "Dart", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 16, 109
"e:\code\r6box\r6box\scripts\find_database.dart", "Dart", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 31
"e:\code\r6box\r6box\test\config_system_test.dart", "Dart", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 70
"e:\code\r6box\r6box\test\framework_test.dart", "Dart", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 91
"e:\code\r6box\r6box\test\widget_test.dart", "Dart", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 11
"e:\code\r6box\r6box\test\widget_test_new.dart", "Dart", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 18
"e:\code\r6box\r6box\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 17, 5, 46
"e:\code\r6box\r6box\web\js\web_context_menu_prevention.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 6, 5, 33
"e:\code\r6box\r6box\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 1, 36
"e:\code\r6box\r6box\web\sqflite_sw.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9504, 0, 0, 1, 2, 9507
"e:\code\r6box\r6box\web\sqlite3.wasm", "WebAssembly Text Format", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14659, 0, 242, 14901
"e:\code\r6box\r6box\windows\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 109
"e:\code\r6box\r6box\windows\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 110
"e:\code\r6box\r6box\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
