"filename", "language", "YAML", "Dart", "Markdown", "HTML", "Swift", "JSON", "C++", "CMake", "XML", "Shell Script", "PowerShell", "Properties", "comment", "blank", "total"
"e:\code\r6box\r6box\lib\pages\map_atlas\map_atlas_page.dart", "Dart", 0, 512, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 34, 556
"e:\code\r6box\r6box\lib\pages\map_editor\map_editor_page.dart", "Dart", 0, 1139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 119, 1336
"e:\code\r6box\r6box\lib\pages\map_editor\widgets\drawing_toolbar.dart", "Dart", 0, 565, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 54, 658
"e:\code\r6box\r6box\lib\pages\map_editor\widgets\layer_legend_binding_drawer.dart", "Dart", 0, 254, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 275
"e:\code\r6box\r6box\lib\pages\map_editor\widgets\layer_panel.dart", "Dart", 0, 466, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 34, 537
"e:\code\r6box\r6box\lib\pages\map_editor\widgets\legend_group_management_drawer.dart", "Dart", 0, 836, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 53, 936
"e:\code\r6box\r6box\lib\pages\map_editor\widgets\legend_panel.dart", "Dart", 0, 195, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 204
"e:\code\r6box\r6box\lib\pages\map_editor\widgets\map_canvas.dart", "Dart", 0, 1706, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 239, 273, 2218
"e:\code\r6box\r6box\lib\pages\map_editor\widgets\z_index_inspector.dart", "Dart", 0, 235, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 11, 254
"e:\code\r6box\r6box\lib\pages\settings\settings_page.dart", "Dart", 0, 191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 201
"e:\code\r6box\r6box\lib\providers\locale_provider.dart", "Dart", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 56
"e:\code\r6box\r6box\lib\providers\theme_provider.dart", "Dart", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12, 99
"e:\code\r6box\r6box\lib\router\app_router.dart", "Dart", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 67
"e:\code\r6box\r6box\lib\services\legend_database_service.dart", "Dart", 0, 252, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 47, 332
"e:\code\r6box\r6box\lib\services\map_database_service.dart", "Dart", 0, 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 50, 391
"e:\code\r6box\r6box\lib\services\map_localization_service.dart", "Dart", 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 47, 334
"e:\code\r6box\r6box\lib\utils\image_utils.dart", "Dart", 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 18, 164
"e:\code\r6box\r6box\linux\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 25, 129
"e:\code\r6box\r6box\linux\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 10, 89
"e:\code\r6box\r6box\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 4, 5, 12
"e:\code\r6box\r6box\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5, 6, 16
"e:\code\r6box\r6box\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"e:\code\r6box\r6box\linux\runner\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 6, 27
"e:\code\r6box\r6box\linux\runner\main.cc", "C++", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"e:\code\r6box\r6box\linux\runner\my_application.cc", "C++", 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 21, 27, 131
"e:\code\r6box\r6box\linux\runner\my_application.h", "C++", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7, 5, 19
"e:\code\r6box\r6box\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 4, 17
"e:\code\r6box\r6box\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"e:\code\r6box\r6box\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"e:\code\r6box\r6box\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 1, 69
"e:\code\r6box\r6box\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 1, 344
"e:\code\r6box\r6box\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"e:\code\r6box\r6box\pubspec.yaml", "YAML", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 23, 130
"e:\code\r6box\r6box\scripts\build.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 10, 19, 89
"e:\code\r6box\r6box\scripts\build.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 10, 12, 68
"e:\code\r6box\r6box\scripts\build_config_generator.dart", "Dart", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 14, 105
"e:\code\r6box\r6box\scripts\config_validator.dart", "Dart", 0, 233, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 47, 300
"e:\code\r6box\r6box\scripts\config_validator_tool.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 36
"e:\code\r6box\r6box\scripts\find_database.dart", "Dart", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 31
"e:\code\r6box\r6box\test\config_system_test.dart", "Dart", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 70
"e:\code\r6box\r6box\test\framework_test.dart", "Dart", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 91
"e:\code\r6box\r6box\test\widget_test.dart", "Dart", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 11
"e:\code\r6box\r6box\test\widget_test_new.dart", "Dart", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 18
"e:\code\r6box\r6box\web\index.html", "HTML", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 15, 5, 39
"e:\code\r6box\r6box\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
