"filename", "language", "Dart", "PowerShell", "Shell Script", "JavaScript", "YAML", "JSON", "HTML", "Markdown", "CMake", "C++", "Swift", "hetu", "XML", "Properties", "WebAssembly Text Format", "comment", "blank", "total"
"e:\code\r6box\r6box\lib\pages\demo\web_context_menu_demo_page.dart", "Dart", 330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19, 356
"e:\code\r6box\r6box\lib\pages\home\home_page.dart", "Dart", 225, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 14, 245
"e:\code\r6box\r6box\lib\pages\legend_manager\legend_manager_page.dart", "Dart", 434, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 31, 476
"e:\code\r6box\r6box\lib\pages\map_atlas\map_atlas_page.dart", "Dart", 483, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 35, 537
"e:\code\r6box\r6box\lib\pages\map_editor\map_editor_page.dart", "Dart", 2819, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 829, 431, 4079
"e:\code\r6box\r6box\lib\pages\map_editor\renderers\background_renderer.dart", "Dart", 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 21, 178
"e:\code\r6box\r6box\lib\pages\map_editor\renderers\element_renderer.dart", "Dart", 294, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 38, 360
"e:\code\r6box\r6box\lib\pages\map_editor\renderers\eraser_renderer.dart", "Dart", 159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 20, 217
"e:\code\r6box\r6box\lib\pages\map_editor\renderers\highlight_renderer.dart", "Dart", 231, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 37, 293
"e:\code\r6box\r6box\lib\pages\map_editor\renderers\preview_renderer.dart", "Dart", 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 30, 307
"e:\code\r6box\r6box\lib\pages\map_editor\tools\drawing_tool_manager.dart", "Dart", 785, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 87, 937
"e:\code\r6box\r6box\lib\pages\map_editor\tools\element_interaction_manager.dart", "Dart", 419, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 56, 513
"e:\code\r6box\r6box\lib\pages\map_editor\utils\drawing_utils.dart", "Dart", 535, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 123, 751
"e:\code\r6box\r6box\lib\pages\map_editor\widgets\drawing_toolbar.dart", "Dart", 1572, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 106, 1771
"e:\code\r6box\r6box\lib\pages\map_editor\widgets\layer_legend_binding_drawer.dart", "Dart", 254, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 275
"e:\code\r6box\r6box\lib\pages\map_editor\widgets\layer_panel.dart", "Dart", 1364, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 188, 178, 1730
"e:\code\r6box\r6box\lib\pages\map_editor\widgets\legend_group_management_drawer.dart", "Dart", 1421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 101, 1630
"e:\code\r6box\r6box\lib\pages\map_editor\widgets\legend_panel.dart", "Dart", 182, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 190
"e:\code\r6box\r6box\lib\pages\map_editor\widgets\map_canvas.dart", "Dart", 1856, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 340, 261, 2457
"e:\code\r6box\r6box\lib\pages\map_editor\widgets\reactive_script_panel.dart", "Dart", 1032, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 67, 1136
"e:\code\r6box\r6box\lib\pages\map_editor\widgets\reactive_version_tab_bar.dart", "Dart", 203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 225
"e:\code\r6box\r6box\lib\pages\map_editor\widgets\script_editor_window_reactive.dart", "Dart", 350, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 23, 392
"e:\code\r6box\r6box\lib\pages\map_editor\widgets\script_status_monitor.dart", "Dart", 538, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 34, 589
"e:\code\r6box\r6box\lib\pages\map_editor\widgets\sticky_note_display.dart", "Dart", 687, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98, 84, 869
"e:\code\r6box\r6box\lib\pages\map_editor\widgets\sticky_note_panel.dart", "Dart", 768, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 55, 882
"e:\code\r6box\r6box\lib\pages\map_editor\widgets\z_index_inspector.dart", "Dart", 950, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 39, 1018
"e:\code\r6box\r6box\lib\pages\settings\settings_page.dart", "Dart", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 97
"e:\code\r6box\r6box\lib\pages\settings\user_preferences_page.dart", "Dart", 273, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 24, 306
"e:\code\r6box\r6box\lib\pages\settings\widgets\layout_settings_section.dart", "Dart", 208, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 23, 238
"e:\code\r6box\r6box\lib\pages\settings\widgets\map_editor_settings_section.dart", "Dart", 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 126
"e:\code\r6box\r6box\lib\pages\settings\widgets\theme_settings_section.dart", "Dart", 166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19, 192
"e:\code\r6box\r6box\lib\pages\settings\widgets\tool_settings_section.dart", "Dart", 817, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 59, 899
"e:\code\r6box\r6box\lib\pages\settings\widgets\user_management_section.dart", "Dart", 786, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 69, 875
"e:\code\r6box\r6box\lib\pages\test\fullscreen_test_page.dart", "Dart", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 46
"e:\code\r6box\r6box\lib\pages\vfs\vfs_file_manager_page.dart", "Dart", 2774, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 216, 291, 3281
"e:\code\r6box\r6box\lib\pages\vfs\vfs_markdown_viewer_page.dart", "Dart", 326, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 32, 392
"e:\code\r6box\r6box\lib\providers\locale_provider.dart", "Dart", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 56
"e:\code\r6box\r6box\lib\providers\theme_provider.dart", "Dart", 218, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 24, 253
"e:\code\r6box\r6box\lib\providers\user_preferences_provider.dart", "Dart", 401, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 62, 509
"e:\code\r6box\r6box\lib\router\app_router.dart", "Dart", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5, 78
"e:\code\r6box\r6box\lib\services\clipboard_service.dart", "Dart", 353, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 39, 438
"e:\code\r6box\r6box\lib\services\combined_database_exporter.dart", "Dart", 211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 30, 271
"e:\code\r6box\r6box\lib\services\keyboard_shortcut_service.dart", "Dart", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 12, 92
"e:\code\r6box\r6box\lib\services\legend_database_service.dart", "Dart", 216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 39, 283
"e:\code\r6box\r6box\lib\services\legend_vfs\legend_compatibility_service.dart", "Dart", 192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 51, 297
"e:\code\r6box\r6box\lib\services\legend_vfs\legend_vfs_service.dart", "Dart", 266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 54, 388
"e:\code\r6box\r6box\lib\services\map_database_service.dart", "Dart", 267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 43, 346
"e:\code\r6box\r6box\lib\services\map_localization_service.dart", "Dart", 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 47, 334
"e:\code\r6box\r6box\lib\services\reactive_version\reactive_version_adapter.dart", "Dart", 597, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 109, 101, 807
"e:\code\r6box\r6box\lib\services\reactive_version\reactive_version_manager.dart", "Dart", 414, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 78, 535
"e:\code\r6box\r6box\lib\services\scripting\isolated_script_executor.dart", "Dart", 531, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 133, 714
"e:\code\r6box\r6box\lib\services\user_preferences\user_preferences_database_service.dart", "Dart", 253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 42, 324
"e:\code\r6box\r6box\lib\services\user_preferences\user_preferences_migration_service.dart", "Dart", 182, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 37, 240
"e:\code\r6box\r6box\lib\services\user_preferences\user_preferences_service.dart", "Dart", 349, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 74, 489
"e:\code\r6box\r6box\lib\services\vfs\vfs_file_opener_service.dart", "Dart", 282, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 37, 346
